term2,e_interaction,coefficient,nlxb02_glm_stunting,nlxb02_glm_underweight,nlxb02_glm_wasting,nlxb03_glm_stunting,nlxb03_glm_underweight,nlxb03_glm_wasting
Table Order 02,10,Male,"0.84 (0.75, 0.93)","0.96 (0.85, 1.08)","1.04 (0.9, 1.2)","0.9 (0.85, 0.94)","0.89 (0.84, 0.95)","0.89 (0.82, 0.96)"
Table Order 03,9,Male,"0.94 (0.76, 1.16)","0.91 (0.71, 1.17)","0.81 (0.59, 1.13)","0.99 (0.9, 1.09)","1.07 (0.96, 1.19)","0.95 (0.81, 1.12)"
Table Order 04,8,Male,"0.78 (0.68, 0.9)","0.77 (0.65, 0.9)","0.81 (0.66, 0.99)","0.85 (0.79, 0.91)","0.88 (0.81, 0.95)","0.92 (0.83, 1.02)"
Table Order 05,7,Male,"0.76 (0.62, 0.93)","0.7 (0.55, 0.89)","0.69 (0.51, 0.94)","0.78 (0.71, 0.86)","0.84 (0.76, 0.94)","0.91 (0.79, 1.06)"
Table Order 06,6,Male,"0.92 (0.81, 1.04)","0.94 (0.82, 1.08)","0.81 (0.68, 0.96)","0.91 (0.85, 0.96)","0.94 (0.88, 1)","0.88 (0.8, 0.96)"
Table Order 07,5,Male,"0.92 (0.77, 1.09)","1.13 (0.95, 1.34)","1.03 (0.84, 1.26)","0.99 (0.91, 1.08)","0.92 (0.84, 1.02)","0.72 (0.64, 0.82)"
Table Order 08,4,Male,"0.9 (0.79, 1.02)","1.02 (0.9, 1.16)","0.92 (0.8, 1.06)","0.93 (0.87, 0.99)","1 (0.93, 1.06)","0.89 (0.83, 0.96)"
Table Order 09,3,Male,"0.7 (0.57, 0.85)","0.99 (0.83, 1.2)","1.01 (0.82, 1.24)","0.86 (0.78, 0.95)","0.94 (0.85, 1.03)","0.88 (0.78, 0.98)"
Table Order 10,2,Male,"0.88 (0.79, 0.98)","0.99 (0.88, 1.1)","1.03 (0.91, 1.16)","0.95 (0.91, 1)","1.02 (0.97, 1.07)","0.98 (0.92, 1.04)"
Table Order 11,19,Male,"1.19 (0.93, 1.53)","1.09 (0.84, 1.4)","1.02 (0.81, 1.29)","1.41 (1.26, 1.57)","1.24 (1.11, 1.38)","0.79 (0.7, 0.89)"
Table Order 12,18,Male,"0.67 (0.49, 0.91)","0.78 (0.57, 1.05)","0.84 (0.64, 1.09)","1.09 (0.97, 1.23)","1.08 (0.96, 1.21)","0.79 (0.69, 0.89)"
Table Order 13,17,Male,"0.88 (0.66, 1.17)","1.13 (0.84, 1.51)","0.75 (0.54, 1.04)","1.09 (0.96, 1.23)","1.09 (0.96, 1.25)","0.86 (0.75, 1)"
Table Order 14,16,Male,"1.05 (0.86, 1.28)","1.17 (0.94, 1.46)","0.74 (0.58, 0.95)","1.14 (1.04, 1.25)","1.02 (0.92, 1.13)","0.81 (0.71, 0.91)"
Table Order 15,15,Male,"1.15 (0.97, 1.36)","1.02 (0.84, 1.26)","0.77 (0.62, 0.97)","1.17 (1.07, 1.27)","1.12 (1.02, 1.23)","0.87 (0.78, 0.97)"
Table Order 16,14,Male,"0.92 (0.78, 1.08)","1 (0.83, 1.2)","0.83 (0.68, 1.02)","1.06 (0.98, 1.14)","1.06 (0.98, 1.16)","0.89 (0.8, 0.98)"
Table Order 17,13,Male,"1.04 (0.86, 1.24)","1.11 (0.9, 1.38)","0.75 (0.58, 0.98)","1.04 (0.95, 1.13)","1.02 (0.92, 1.12)","0.9 (0.8, 1.01)"
Table Order 18,12,Male,"1.09 (0.94, 1.27)","1.14 (0.95, 1.36)","0.82 (0.66, 1.03)","1.04 (0.97, 1.12)","1.02 (0.93, 1.11)","0.89 (0.8, 0.99)"
Table Order 19,11,Male,"0.87 (0.77, 0.97)","1.07 (0.93, 1.22)","0.93 (0.79, 1.09)","0.91 (0.86, 0.97)","0.93 (0.87, 0.99)","0.89 (0.81, 0.96)"
