term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting
e1_p1_d,"0.92 (0.85, 0.99)","1.01 (0.92, 1.1)","1.07 (0.94, 1.2)","0.96 (0.93, 0.99)","0.97 (0.93, 1)","0.95 (0.89, 1)"
e1_p2_d,"0.95 (0.87, 1.03)","0.92 (0.83, 1.02)","0.87 (0.75, 1)","0.94 (0.91, 0.97)","0.97 (0.93, 1.01)","0.99 (0.93, 1.06)"
e1_p3_d,"0.95 (0.88, 1.03)","0.97 (0.89, 1.06)","0.94 (0.84, 1.05)","0.94 (0.91, 0.97)","0.94 (0.9, 0.97)","0.92 (0.87, 0.97)"
e1_p4_d,"0.98 (0.91, 1.07)","1.08 (1, 1.17)","1.06 (0.96, 1.16)","1.01 (0.97, 1.04)","1 (0.97, 1.04)","0.93 (0.89, 0.98)"
e1_p5_d,"0.94 (0.86, 1.02)","0.98 (0.9, 1.07)","1.08 (0.99, 1.19)","0.98 (0.95, 1.02)","1.02 (0.99, 1.06)","0.99 (0.95, 1.04)"
e2_p1_d,"0.91 (0.76, 1.1)","0.96 (0.8, 1.15)","0.97 (0.81, 1.16)","1.11 (1.02, 1.2)","1.11 (1.01, 1.21)","0.93 (0.85, 1)"
e2_p2_d,"1.06 (0.92, 1.23)","1.07 (0.91, 1.25)","0.92 (0.78, 1.07)","1.06 (0.99, 1.12)","0.94 (0.87, 1)","0.89 (0.83, 0.95)"
e2_p3_d,"0.93 (0.83, 1.04)","0.98 (0.86, 1.12)","0.92 (0.8, 1.06)","1.04 (0.99, 1.08)","1.01 (0.96, 1.07)","0.91 (0.85, 0.97)"
e2_p4_d,"1.06 (0.97, 1.17)","1.02 (0.92, 1.13)","0.92 (0.82, 1.04)","1.03 (0.99, 1.07)","0.99 (0.95, 1.04)","0.98 (0.93, 1.03)"
e2_p5_d,"0.95 (0.87, 1.04)","1 (0.9, 1.11)","0.95 (0.83, 1.08)","0.97 (0.93, 1)","0.96 (0.92, 1)","0.92 (0.86, 0.97)"
